지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
100,대관령,2015-04-16,8,3.3,15.8,5,16,8.3,65.1,7,11.78
100,대관령,2015-04-17,7.9,2.3,13.3,,12.2,8.2,34.8,11.6,23.18
100,대관령,2015-04-18,12.4,3.6,20.6,,11.3,4.6,23.8,11.5,23.59
100,대관령,2015-04-19,9.5,6.7,15.5,4,4.6,1.9,69.4,1.8,5.18
100,대관령,2015-04-20,4.4,-1,7.4,8.5,7.1,3.3,81.6,3.1,5.6
100,대관령,2015-04-21,9.5,-1.6,17.7,,8.6,3.7,47.1,12.7,25.93
100,대관령,2015-04-22,10.5,5.6,16.6,,7.7,3.9,39.3,10.2,19.32
100,대관령,2015-04-23,11.2,1,18,,10.6,5.7,36.1,12.2,25.11
100,대관령,2015-04-24,11,5.6,18.7,,11.5,4.4,38.8,12.5,25.12
100,대관령,2015-04-25,12.2,-.7,21.5,,8.2,3.6,33.9,12.7,26.1
100,대관령,2015-04-26,16.9,8.1,23.3,,10.7,6.7,32.8,12.6,25.08
100,대관령,2015-04-27,17.1,12.7,22.6,,9.8,6.2,41.8,12.4,24.52
100,대관령,2015-04-28,14,5.9,22.1,,5.9,2.6,37.3,10.9,23.91
100,대관령,2015-04-29,11.6,8,14.6,0,4.2,1.6,65.9,2.1,6.86
100,대관령,2015-04-30,14.7,5.3,21.1,,5.5,1.9,67.9,12.3,24.81
101,춘천,2015-04-01,10.1,5.7,13.5,3.3,5.4,2.6,72.6,4.9,15.27
101,춘천,2015-04-02,12.8,3.8,20.5,21.5,5.4,1.9,74.9,3.3,10.73
101,춘천,2015-04-03,13.6,9.6,17.6,12.9,4.6,2.5,72.9,6.1,14.34
101,춘천,2015-04-04,11.1,6.5,16.7,,5.4,3,51.5,6.3,13.9
101,춘천,2015-04-05,9.2,8.3,9.9,.8,3.2,1.3,79,0,3.74
101,춘천,2015-04-06,11.3,6.5,16.8,,3.7,1.4,64.8,2.1,11.26
101,춘천,2015-04-07,6.7,4.4,9.6,0,3.8,2.6,61.3,.8,6.62
101,춘천,2015-04-08,7.5,2.7,13.8,,4.1,1.7,60.3,7,15.87
101,춘천,2015-04-09,8.2,.9,16.2,,3.1,1.2,57.6,10.7,18
101,춘천,2015-04-10,10.2,.8,19.9,,2.5,.9,51.6,10.9,20.39
101,춘천,2015-04-11,12.2,2.7,21.5,,4,1.2,49.9,11.3,20.2
101,춘천,2015-04-12,12.1,5.5,20.7,,5.1,1.9,50.6,2.2,12.8
101,춘천,2015-04-13,10.5,7.4,15.9,3.6,5.1,2.3,62.6,3.8,11.51
101,춘천,2015-04-14,5.7,4.7,7.4,28.8,3,1,93.9,0,2.42
101,춘천,2015-04-15,9.7,3.7,17.1,5.9,3.8,1.2,77.3,6.4,15.36
101,춘천,2015-04-16,8.3,4.1,11.5,6.6,4.9,1.6,78.5,.4,3.2
101,춘천,2015-04-17,10,1.7,17.8,,5.6,2,53.4,12,21.96
101,춘천,2015-04-18,13.3,1.2,24,,2.1,.8,48.4,10.9,21.93
101,춘천,2015-04-19,13.7,10.9,18.3,14.4,3.5,1.1,74,.9,5.37
101,춘천,2015-04-20,11,6.8,14.8,8.7,4.1,1.5,79,3.4,8.47
101,춘천,2015-04-21,11.9,4,21.7,,5.5,1.6,59.4,9.2,20.75
101,춘천,2015-04-22,12.8,4.9,21.5,,4.2,1.1,51.5,9.2,17.82
101,춘천,2015-04-23,14,3.9,21.8,,4.8,1.8,44.1,11.7,21.12
101,춘천,2015-04-24,16.6,9,23.5,,4.8,2,36.4,12.1,22.62
101,춘천,2015-04-25,15.4,5.2,24.6,,5.4,1.6,41.3,12.6,23.13
101,춘천,2015-04-26,17.7,6.2,26.9,,4.6,1.7,46.5,11.5,21.29
101,춘천,2015-04-27,18.6,11,27,,5,1.8,51.5,11.7,21.6
101,춘천,2015-04-28,17.9,7.7,26.9,,2.3,.9,44.6,10.8,21.52
101,춘천,2015-04-29,17.1,13.9,21,.2,3.1,1,59.9,0,6.22
101,춘천,2015-04-30,21,12.3,29.5,,3.2,1.5,59.6,12,23.06
102,백령도,2015-04-01,9.1,4.5,12.8,.5,6.6,3,74.5,7.9,
102,백령도,2015-04-02,7.9,4.9,11.2,14,17.5,10.6,87.6,0,
102,백령도,2015-04-03,7,4.3,9.5,,10.5,4.6,75.6,11.1,
102,백령도,2015-04-04,9.4,6.8,11.6,0,10.5,5.7,65.4,.2,
102,백령도,2015-04-05,7.2,4.5,10.5,1,5,2.7,88.1,0,
102,백령도,2015-04-06,3.8,2.7,5.4,,6.7,4.2,61.8,4.5,
102,백령도,2015-04-07,3.3,1.8,5.2,,6.7,4.7,43.3,12,
102,백령도,2015-04-08,4.1,1.8,7.7,,4.5,2.9,54.4,11.8,
102,백령도,2015-04-09,6.8,3.8,11.8,,5.7,2.7,41.1,10.1,
102,백령도,2015-04-10,7.7,4.4,12.9,,5.1,2.8,45.8,11.7,
102,백령도,2015-04-11,10.4,6.5,13.8,,8.5,5.3,23.9,11.2,
102,백령도,2015-04-12,11,7.2,15.7,,7.2,4.5,37.3,1.9,
102,백령도,2015-04-13,11.6,8.2,15.4,0,9.6,5.4,40.1,4.5,
102,백령도,2015-04-14,7.3,5.8,10.8,.1,6.9,3.5,79.9,.3,
102,백령도,2015-04-15,9.8,5.7,16.2,,8.8,5.4,72.9,11.6,
102,백령도,2015-04-16,8.6,5.4,10.9,0,12.4,8.9,64.3,6.9,
102,백령도,2015-04-17,8.5,6.8,11.1,,11,8.4,61.3,11.2,
102,백령도,2015-04-18,10.9,5.4,15.3,,8.3,5.7,47.5,9.2,
102,백령도,2015-04-19,11.8,8.2,16.2,.1,5.9,3.5,53.5,0,
102,백령도,2015-04-20,9.3,6.8,13,0,12.1,5.1,52.9,10.3,
102,백령도,2015-04-21,10.5,8,15.5,,13.1,8,47,12.5,
102,백령도,2015-04-22,12,7.4,16.7,,9.9,5,51.1,11.8,
102,백령도,2015-04-23,11,8.9,13.5,,12.3,9.3,57.9,11.3,
102,백령도,2015-04-24,14.3,6.9,19.3,,10.4,4.9,29.1,12.9,
102,백령도,2015-04-25,13.8,11.3,16.8,,10.8,6.8,37.4,12.4,
102,백령도,2015-04-26,14.4,9.7,20.1,,11.4,5.6,58.1,11.6,
102,백령도,2015-04-27,13.7,9.4,19.2,,7.7,5.5,53.8,12.4,
102,백령도,2015-04-28,15,10,20.6,,8.4,5,54.3,6.9,
102,백령도,2015-04-29,15.8,11,20.8,,5.7,2.5,58.5,6.6,
102,백령도,2015-04-30,16.8,12,22,,4.7,2.9,62.5,12.7,
104,북강릉,2015-04-01,5.6,3.2,10.9,10.5,5.3,2.3,87,.9,5.64
104,북강릉,2015-04-02,8.8,2.3,16.6,6,4.7,1.9,77.4,7.9,18.45
104,북강릉,2015-04-03,7.5,4.7,15.1,13,3.9,1.6,84.3,5.2,16.08
104,북강릉,2015-04-04,6,4.1,8.1,.1,2.9,1.2,80.6,0,6.07
104,북강릉,2015-04-05,5.8,4.6,8,.5,3,1.3,80.6,0,5.95
104,북강릉,2015-04-06,7.1,5.1,11,.1,3.3,1.5,83.5,0,6.68
104,북강릉,2015-04-07,2.5,1.1,5.3,6,3.8,1.5,86.3,0,2.83
104,북강릉,2015-04-08,4.2,1.7,7.5,.5,2.1,.8,84.3,0,5.6
104,북강릉,2015-04-09,6.4,1.2,11.9,,4.5,1.5,79.3,10.1,19
104,북강릉,2015-04-10,9.8,3.2,15.4,,3.6,1.5,51,11.7,23.08
104,북강릉,2015-04-11,7.5,4.5,10.9,,3.2,1.5,73.1,11.4,21.82
104,북강릉,2015-04-12,6.3,4.4,7.6,,3.2,1.6,90.1,0,5.64
104,북강릉,2015-04-13,5.7,5.1,6.9,.5,4.1,2.5,88.9,0,1.47
104,북강릉,2015-04-14,4.6,2.4,6,8,5.1,1.4,84.6,.5,4.73
104,북강릉,2015-04-15,12.8,2,20.1,,6.5,2.7,51,10.3,22.38
104,북강릉,2015-04-16,15.1,7.2,22.6,.5,9.1,4.2,37.5,6.2,12.09
104,북강릉,2015-04-17,15.3,9.3,21.4,,7.6,4.6,16.3,11.6,22.61
104,북강릉,2015-04-18,17.3,8.8,23.7,0,4.7,2.3,20,11.1,22.06
104,북강릉,2015-04-19,13.1,7.2,19.9,5.5,3.8,1.8,56.1,.4,6.01
